num,code,url,status_code,launch_date,year,month,launch_vehicle,launch_site,
1,2019-010E,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-010E,200,2019-02-27,2019,2,Soyuz-Fregat,Kourou, French Guiana<br/></p
2,2019-010D,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-010D,200,2019-02-27,2019,2,Soyuz-Fregat,Kourou, French Guiana<br/></p
3,2019-010C,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-010C,200,2019-02-27,2019,2,Soyuz-Fregat,Kourou, French Guiana<br/></p
4,2019-010B,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-010B,200,2019-02-27,2019,2,Soyuz-Fregat,Kourou, French Guiana<br/></p
5,2019-010F,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-010F,200,2019-02-27,2019,2,Soyuz-Fregat,Kourou, French Guiana<br/></p
6,2019-010A,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-010A,200,2019-02-27,2019,2,Soyuz-Fregat,Kourou, French Guiana<br/></p
7,2020-008A,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2020-008A,200,2020-02-06,2020,2,Soyuz-2.1b/Fregat,Tyuratam (Baikonur Cosmodrome,
8,2020-008B,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2020-008B,200,2020-02-06,2020,2,Soyuz-2.1b/Fregat,Tyuratam (Baikonur Cosmodrome,
9,2020-020L,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2020-020L,200,2020-03-21,2020,3,Soyuz-2.1b,Tyuratam (Baikonur Cosmodrome,
10,2020020AB,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2020020AB,200,2020-03-21,2020,3,Soyuz-2.1b,Tyuratam (Baikonur Cosmodrome,
11,2020-008C,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2020-008C,200,2020-02-06,2020,2,Soyuz-2.1b/Fregat,Tyuratam (Baikonur Cosmodrome,
12,2020-008D,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2020-008D,200,2020-02-06,2020,2,Soyuz-2.1b/Fregat,Tyuratam (Baikonur Cosmodrome,
13,2020-008E,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2020-008E,200,2020-02-06,2020,2,Soyuz-2.1b/Fregat,Tyuratam (Baikonur Cosmodrome,
14,2020-008F,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2020-008F,200,2020-02-06,2020,2,Soyuz-2.1b/Fregat,Tyuratam (Baikonur Cosmodrome,
15,2020-008G,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2020-008G,200,2020-02-06,2020,2,Soyuz-2.1b/Fregat,Tyuratam (Baikonur Cosmodrome,
16,2020-008H,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2020-008H,200,2020-02-06,2020,2,Soyuz-2.1b/Fregat,Tyuratam (Baikonur Cosmodrome,
